"lever","time","scheduled_since","session","bird","cost_local","cost_alter","streak_length","cum_resp_left","cum_resp_right","cum_reinf_left","cum_reinf_right","local_VI","alter_VI"
"left",15.21,14.99,"s01","p510",28,0,1,28,0,1,0,30,90
"right",40.13,39.99,"s01","p510",45,0,1,28,45,1,1,90,30
"left",77.61,77.21,"s01","p510",11,50,1,39,95,2,1,30,90
"right",82.45,76.13,"s01","p510",1,0,1,39,96,2,2,90,30
"left",146.54,116.61,"s01","p510",5,39,1,44,135,3,2,30,90
"left",172.69,165.54,"s01","p510",5,5,2,49,140,4,2,30,90
"right",177.54,177.45,"s01","p510",2,0,1,49,142,4,3,90,30
"left",188.84,181.69,"s01","p510",1,2,1,50,144,5,3,30,90
"left",243.27,239.84,"s01","p510",7,20,2,57,164,6,3,30,90
"left",249.87,247.27,"s01","p510",1,0,3,58,164,7,3,30,90
"left",281.38,280.87,"s01","p510",20,4,4,78,168,8,3,30,90
"left",299.63,293.38,"s01","p510",4,1,5,82,169,9,3,30,90
"right",304.03,300.54,"s01","p510",1,0,1,82,170,9,4,90,30
"left",322.12,320.63,"s01","p510",10,0,1,92,170,10,4,30,90
"left",382.09,359.12,"s01","p510",22,9,2,114,179,11,4,30,90
"left",390.76,390.09,"s01","p510",3,1,3,117,180,12,4,30,90
"right",408.9,397.03,"s01","p510",1,7,1,124,181,12,5,90,30
"left",458.93,457.76,"s01","p510",14,1,1,138,182,13,5,30,90
"right",463.04,456.9,"s01","p510",1,0,1,138,183,13,6,90,30
"left",488.08,486.93,"s01","p510",6,2,1,144,185,14,6,30,90
"left",506.28,501.08,"s01","p510",4,2,2,148,187,15,6,30,90
"left",524.5,524.28,"s01","p510",8,0,3,156,187,16,6,30,90
"left",548.98,544.5,"s01","p510",11,0,4,167,187,17,6,30,90
"right",612.26,588.04,"s01","p510",1,19,1,186,188,17,7,90,30
"left",621,609.98,"s01","p510",1,1,1,187,189,18,7,30,90
"right",634.36,619.26,"s01","p510",1,3,1,190,190,18,8,90,30
"left",721.41,710,"s01","p510",14,23,1,204,213,19,8,30,90
"right",726.87,726.36,"s01","p510",2,0,1,204,215,19,9,90,30
"left",747.97,739.41,"s01","p510",3,3,1,207,218,20,9,30,90
"left",759.73,757.97,"s01","p510",1,0,2,208,218,21,9,30,90
"left",798.47,785.73,"s01","p510",15,3,3,223,221,22,9,30,90
"right",814.07,799.87,"s01","p510",1,6,1,229,222,22,10,90,30
"left",818.73,815.47,"s01","p510",1,0,1,230,222,23,10,30,90
"left",911.91,900.73,"s01","p510",33,11,2,263,233,24,10,30,90
"left",920.61,918.91,"s01","p510",1,0,3,264,233,25,10,30,90
"left",928.67,925.61,"s01","p510",1,1,4,265,234,26,10,30,90
"left",952.17,951.67,"s01","p510",8,0,5,273,234,27,10,30,90
"right",966.61,927.07,"s01","p510",1,6,1,279,235,27,11,90,30
"right",1072.43,1010.61,"s01","p510",6,32,2,311,241,27,12,90,30
"left",1088.36,1087.17,"s01","p510",4,1,1,315,242,28,12,30,90
"right",1139.82,1109.43,"s01","p510",4,15,1,330,246,28,13,90,30
"left",1160.86,1156.36,"s01","p510",5,3,1,335,249,29,13,30,90
"left",1170.48,1169.86,"s01","p510",2,0,2,337,249,30,13,30,90
"left",1176.03,1175.48,"s01","p510",4,0,3,341,249,31,13,30,90
"left",1191.88,1190.03,"s01","p510",4,0,4,345,249,32,13,30,90
"left",1216.44,1214.88,"s01","p510",13,1,5,358,250,33,13,30,90
"left",1229.54,1229.44,"s01","p510",4,0,6,362,250,34,13,30,90
"left",1262.61,1261.54,"s01","p510",14,0,7,376,250,35,13,30,90
"left",1283.17,1282.61,"s01","p510",7,0,8,383,250,36,13,30,90
"left",1305.35,1301.17,"s01","p510",13,0,9,396,250,37,13,30,90
"left",1324.85,1324.35,"s01","p510",13,1,10,409,251,38,13,30,90
"left",1336.83,1333.85,"s01","p510",4,0,11,413,251,39,13,30,90
"left",1341.57,1340.83,"s01","p510",1,0,12,414,251,40,13,30,90
"left",1359.31,1356.57,"s01","p510",6,0,13,420,251,41,13,30,90
"left",1375.9,1373.31,"s01","p510",7,0,14,427,251,42,13,30,90
"left",1397.05,1394.9,"s01","p510",7,0,15,434,251,43,13,30,90
"left",1443.72,1440.05,"s01","p510",21,0,16,455,251,44,13,30,90
"right",1465.05,1436.82,"s01","p510",1,5,1,460,252,44,14,90,30
"left",1486.05,1480.72,"s01","p510",6,2,1,466,254,45,14,30,90
"left",1520.56,1517.05,"s01","p510",9,1,2,475,255,46,14,30,90
"right",1527.87,1518.05,"s01","p510",1,0,1,475,256,46,15,90,30
"left",1532.29,1525.56,"s01","p510",1,0,1,476,256,47,15,30,90
"left",1573.36,1570.29,"s01","p510",13,3,2,489,259,48,15,30,90
"left",1606.4,1605.36,"s01","p510",16,1,3,505,260,49,15,30,90
"left",1637.55,1635.4,"s01","p510",6,3,4,511,263,50,15,30,90
"left",1667.94,1664.55,"s01","p510",9,2,5,520,265,51,15,30,90
"left",1673.96,1671.94,"s01","p510",1,0,6,521,265,52,15,30,90
"left",1806.12,1799.96,"s01","p510",45,5,7,566,270,53,15,30,90
"right",1819.29,1818.87,"s01","p510",2,5,1,571,272,53,16,90,30
"left",1842.28,1841.12,"s01","p510",8,5,1,579,277,54,16,30,90
"left",1886.88,1885.28,"s01","p510",18,31,2,597,308,55,16,30,90
"left",1926.33,1920.88,"s01","p510",20,2,3,617,310,56,16,30,90
"right",1944.13,1927.29,"s01","p510",1,4,1,621,311,56,17,90,30
"left",1961.97,1957.33,"s01","p510",5,2,1,626,313,57,17,30,90
"left",1986.87,1983.97,"s01","p510",9,4,2,635,317,58,17,30,90
"right",1993,1988.13,"s01","p510",1,1,1,636,318,58,18,90,30
"left",2008.37,2007.87,"s01","p510",4,3,1,640,321,59,18,30,90
"right",2014.18,2012,"s01","p510",1,1,1,641,322,59,19,90,30
"left",2018.9,2017.37,"s01","p510",1,0,1,642,322,60,19,30,90
"left",2026.58,2022.9,"s01","p510",1,3,2,643,325,61,19,30,90
"left",2036.81,2032.58,"s01","p510",3,1,3,646,326,62,19,30,90
"right",2041.21,2041.18,"s01","p510",1,0,1,646,327,62,20,90,30
"left",2047.69,2046.81,"s01","p510",1,2,1,647,329,63,20,30,90
"left",2060.91,2060.69,"s01","p510",6,4,2,653,333,64,20,30,90
"right",2067.94,2059.21,"s01","p510",1,4,1,657,334,64,21,90,30
"left",2078.2,2077.91,"s01","p510",4,2,1,661,336,65,21,30,90
"left",2098.53,2098.2,"s01","p510",18,2,2,679,338,66,21,30,90
"right",2128.37,2086.94,"s01","p510",1,20,1,699,339,66,22,90,30
"left",2202.19,2200.53,"s01","p510",23,8,1,722,347,67,22,30,90
"left",2241.88,2241.19,"s01","p510",14,5,2,736,352,68,22,30,90
"left",2246.45,2245.88,"s01","p510",1,0,3,737,352,69,22,30,90
"left",2256.79,2256.45,"s01","p510",3,0,4,740,352,70,22,30,90
"left",2271.03,2269.79,"s01","p510",3,0,5,743,352,71,22,30,90
"left",2287.88,2285.03,"s01","p510",9,0,6,752,352,72,22,30,90
"right",2299.61,2244.37,"s01","p510",1,4,1,756,353,72,23,90,30
"left",2349.85,2344.88,"s01","p510",17,4,1,773,357,73,23,30,90
"left",2389.37,2384.85,"s01","p510",4,4,2,777,361,74,23,30,90
"right",2409.89,2389.61,"s01","p510",1,5,1,782,362,74,24,90,30
"left",2447.93,2443.37,"s01","p510",6,3,1,788,365,75,24,30,90
"left",2460.33,2457.93,"s01","p510",4,0,2,792,365,76,24,30,90
"right",2497.97,2461.89,"s01","p510",1,5,1,797,366,76,25,90,30
