"lever","time","scheduled_since","session","bird","cost_local","cost_alter","streak_length","cum_resp_left","cum_resp_right","cum_reinf_left","cum_reinf_right","local_VI","alter_VI"
"right",803.01,20.99,"s01","p736",1,0,1,0,1,0,1,90,30
"right",820.98,820.01,"s01","p736",18,0,2,0,19,0,2,90,30
"right",874.16,870.98,"s01","p736",45,0,3,0,64,0,3,90,30
"right",995.83,935.16,"s01","p736",6,0,4,0,70,0,4,90,30
"right",1012.21,1009.83,"s01","p736",1,0,5,0,71,0,5,90,30
"left",1085.32,0.99,"s01","p736",1,52,1,1,123,1,5,30,90
"right",1170.71,1148.21,"s01","p736",5,8,1,9,128,1,6,90,30
"left",1187.29,1148.32,"s01","p736",1,0,1,10,128,2,6,30,90
"left",1232.68,1219.29,"s01","p736",4,0,2,14,128,3,6,30,90
"right",1292.41,1193.71,"s01","p736",1,7,1,21,129,3,7,90,30
"left",1346.97,1269.68,"s01","p736",1,18,1,22,147,4,7,30,90
"left",1362.11,1361.97,"s01","p736",4,0,2,26,147,5,7,30,90
"left",1404.01,1401.11,"s01","p736",8,0,3,34,147,6,7,30,90
"left",1417.73,1414.01,"s01","p736",1,0,4,35,147,7,7,30,90
"left",1438.06,1437.73,"s01","p736",4,0,5,39,147,8,7,30,90
"left",1444.44,1444.06,"s01","p736",1,0,6,40,147,9,7,30,90
"left",1499.67,1499.44,"s01","p736",14,0,7,54,147,10,7,30,90
"left",1545.9,1544.67,"s01","p736",49,0,8,103,147,11,7,30,90
"left",1588.36,1585.9,"s01","p736",10,0,9,113,147,12,7,30,90
"left",1626.74,1625.36,"s01","p736",10,0,10,123,147,13,7,30,90
"right",1642.5,1488.41,"s01","p736",1,3,1,126,148,13,8,90,30
"left",1672.86,1672.74,"s01","p736",13,5,1,139,153,14,8,30,90
"left",1730.65,1716.86,"s01","p736",20,0,2,159,153,15,8,30,90
"left",1749.07,1748.65,"s01","p736",4,0,3,163,153,16,8,30,90
"left",1766.65,1766.07,"s01","p736",8,0,4,171,153,17,8,30,90
"left",1796.79,1796.65,"s01","p736",17,0,5,188,153,18,8,30,90
"left",1823.17,1822.79,"s01","p736",21,0,6,209,153,19,8,30,90
"left",1842.52,1842.17,"s01","p736",11,0,7,220,153,20,8,30,90
"left",1956.23,1954.52,"s01","p736",97,0,8,317,153,21,8,30,90
"left",2015.65,2015.23,"s01","p736",13,0,9,330,153,22,8,30,90
"left",2027.8,2025.65,"s01","p736",4,0,10,334,153,23,8,30,90
"left",2063.59,2060.8,"s01","p736",18,0,11,352,153,24,8,30,90
"left",2093.8,2088.59,"s01","p736",12,0,12,364,153,25,8,30,90
"left",2135.05,2132.8,"s01","p736",19,0,13,383,153,26,8,30,90
"left",2219.58,2218.05,"s01","p736",34,0,14,417,153,27,8,30,90
"left",2234.48,2223.58,"s01","p736",1,0,15,418,153,28,8,30,90
"left",2248.82,2243.48,"s01","p736",2,0,16,420,153,29,8,30,90
"left",2284.08,2281.82,"s01","p736",22,0,17,442,153,30,8,30,90
"left",2347.86,2347.08,"s01","p736",35,0,18,477,153,31,8,30,90
"left",2383.74,2382.86,"s01","p736",15,0,19,492,153,32,8,30,90
"left",2454.3,2453.74,"s01","p736",29,0,20,521,153,33,8,30,90
"left",2469.31,2469.3,"s01","p736",4,0,21,525,153,34,8,30,90
"left",2503.16,2502.31,"s01","p736",21,0,22,546,153,35,8,30,90
"left",2551.67,2551.16,"s01","p736",22,0,23,568,153,36,8,30,90
"left",2611.63,2608.67,"s01","p736",22,0,24,590,153,37,8,30,90
"left",2657.61,2645.63,"s01","p736",8,0,25,598,153,38,8,30,90
"left",2664.53,2663.61,"s01","p736",1,0,26,599,153,39,8,30,90
"left",2682.48,2675.53,"s01","p736",2,0,27,601,153,40,8,30,90
"left",2709.21,2708.48,"s01","p736",7,0,28,608,153,41,8,30,90
"left",2765.22,2764.21,"s01","p736",30,0,29,638,153,42,8,30,90
"left",2826.74,2826.22,"s01","p736",26,0,30,664,153,43,8,30,90
"left",2846.96,2834.74,"s01","p736",3,0,31,667,153,44,8,30,90
"left",2860.4,2858.96,"s01","p736",5,0,32,672,153,45,8,30,90
"left",2908.55,2906.4,"s01","p736",28,0,33,700,153,46,8,30,90
"left",2930.67,2916.55,"s01","p736",2,0,34,702,153,47,8,30,90
"left",2938.37,2937.67,"s01","p736",2,0,35,704,153,48,8,30,90
"left",2992.9,2992.37,"s01","p736",38,0,36,742,153,49,8,30,90
"left",3014.47,3011.9,"s01","p736",13,0,37,755,153,50,8,30,90
"left",3055.2,3053.47,"s01","p736",27,0,38,782,153,51,8,30,90
"left",3062.33,3059.2,"s01","p736",1,0,39,783,153,52,8,30,90
"left",3120.94,3119.33,"s01","p736",23,0,40,806,153,53,8,30,90
"left",3182.87,3179.94,"s01","p736",34,0,41,840,153,54,8,30,90
"left",3194.04,3191.87,"s01","p736",4,0,42,844,153,55,8,30,90
"left",3249.35,3249.04,"s01","p736",36,0,43,880,153,56,8,30,90
"left",3267.29,3265.35,"s01","p736",5,0,44,885,153,57,8,30,90
"right",3315.87,1661.5,"s01","p736",1,26,1,911,154,57,9,90,30
"left",3322.77,3317.29,"s01","p736",1,0,1,912,154,58,9,30,90
"left",3341.81,3340.77,"s01","p736",10,2,2,922,156,59,9,30,90
"left",3347.04,3346.81,"s01","p736",2,0,3,924,156,60,9,30,90
"left",3439.27,3439.04,"s01","p736",55,4,4,979,160,61,9,30,90
"left",3450.48,3449.27,"s01","p736",3,0,5,982,160,62,9,30,90
"right",3481.8,3412.87,"s01","p736",1,18,1,1000,161,62,10,90,30
"left",3486.74,3480.48,"s01","p736",1,0,1,1001,161,63,10,30,90
"left",3491.75,3491.74,"s01","p736",1,0,2,1002,161,64,10,30,90
"left",3505.91,3504.75,"s01","p736",9,0,3,1011,161,65,10,30,90
"left",3511.92,3511.91,"s01","p736",4,0,4,1015,161,66,10,30,90
"right",3517.58,3503.8,"s01","p736",1,0,1,1015,162,66,11,90,30
"left",3532.59,3520.92,"s01","p736",1,13,1,1016,175,67,11,30,90
"right",3547.79,3543.58,"s01","p736",1,14,1,1030,176,67,12,90,30
"left",3578.18,3566.59,"s01","p736",5,9,1,1035,185,68,12,30,90
"left",3593.83,3593.18,"s01","p736",7,1,2,1042,186,69,12,30,90
"left",3615.8,3613.83,"s01","p736",13,0,3,1055,186,70,12,30,90
"left",3631.04,3628.8,"s01","p736",8,1,4,1063,187,71,12,30,90
"left",3637.06,3637.04,"s01","p736",2,0,5,1065,187,72,12,30,90
"left",3665.72,3664.06,"s01","p736",24,1,6,1089,188,73,12,30,90
"left",3682.79,3680.72,"s01","p736",6,0,7,1095,188,74,12,30,90
"left",3702.08,3698.79,"s01","p736",9,0,8,1104,188,75,12,30,90
"left",3744.4,3742.08,"s01","p736",34,0,9,1138,188,76,12,30,90
"left",3755.04,3754.4,"s01","p736",6,0,10,1144,188,77,12,30,90
"left",3798.33,3798.04,"s01","p736",23,2,11,1167,190,78,12,30,90
"left",3814.04,3811.33,"s01","p736",14,0,12,1181,190,79,12,30,90
"right",3833.02,3772.79,"s01","p736",1,7,1,1188,191,79,13,90,30
"left",3839.35,3831.04,"s01","p736",1,0,1,1189,191,80,13,30,90
"left",3854.63,3853.35,"s01","p736",4,0,2,1193,191,81,13,30,90
"left",3892.26,3889.63,"s01","p736",26,1,3,1219,192,82,13,30,90
"left",3943.11,3942.26,"s01","p736",29,0,4,1248,192,83,13,30,90
"left",3953.85,3953.11,"s01","p736",3,0,5,1251,192,84,13,30,90
"right",3987.85,3942.02,"s01","p736",1,18,1,1269,193,84,14,90,30
"right",4013.71,4006.85,"s01","p736",4,13,2,1282,197,84,15,90,30
"left",4095.02,4094.85,"s01","p736",63,8,1,1345,205,85,15,30,90
"left",4194.11,4194.02,"s01","p736",42,1,2,1387,206,86,15,30,90
"left",4218.47,4218.11,"s01","p736",16,0,3,1403,206,87,15,30,90
"left",4224.59,4224.47,"s01","p736",2,0,4,1405,206,88,15,30,90
"left",4286.45,4285.59,"s01","p736",25,0,5,1430,206,89,15,30,90
"left",4300.02,4296.45,"s01","p736",1,0,6,1431,206,90,15,30,90
"left",4329.4,4324.02,"s01","p736",11,0,7,1442,206,91,15,30,90
"left",4348.78,4346.4,"s01","p736",7,0,8,1449,206,92,15,30,90
"left",4370.75,4369.78,"s01","p736",13,0,9,1462,206,93,15,30,90
"right",4389.27,4162.71,"s01","p736",1,7,1,1469,207,93,16,90,30
"left",4395.72,4394.75,"s01","p736",1,1,1,1470,208,94,16,30,90
"left",4403.41,4399.72,"s01","p736",1,1,2,1471,209,95,16,30,90
"left",4432.67,4432.41,"s01","p736",21,1,3,1492,210,96,16,30,90
"left",4441.7,4441.67,"s01","p736",4,0,4,1496,210,97,16,30,90
"left",4477.99,4476.7,"s01","p736",23,0,5,1519,210,98,16,30,90
"right",4538.03,4437.27,"s01","p736",1,46,1,1565,211,98,17,90,30
"right",4552.06,4546.03,"s01","p736",1,4,2,1569,212,98,18,90,30
"left",4559.92,4557.99,"s01","p736",1,1,1,1570,213,99,18,30,90
"left",4570.04,4569.92,"s01","p736",4,0,2,1574,213,100,18,30,90
"right",4578.66,4559.06,"s01","p736",1,2,1,1576,214,100,19,90,30
"left",4588.15,4584.04,"s01","p736",1,2,1,1577,216,101,19,30,90
"left",4615.24,4615.15,"s01","p736",17,6,2,1594,222,102,19,30,90
"left",4663.53,4663.24,"s01","p736",26,0,3,1620,222,103,19,30,90
"right",4674.32,4658.66,"s01","p736",1,3,1,1623,223,103,20,90,30
"left",4695.22,4693.53,"s01","p736",5,1,1,1628,224,104,20,30,90
"left",4741.96,4740.22,"s01","p736",30,4,2,1658,228,105,20,30,90
"left",4747.4,4745.96,"s01","p736",1,0,3,1659,228,106,20,30,90
"left",4755.06,4753.4,"s01","p736",3,0,4,1662,228,107,20,30,90
"right",4801.18,4780.32,"s01","p736",3,30,1,1692,231,107,21,90,30
"left",4841.49,4840.06,"s01","p736",18,3,1,1710,234,108,21,30,90
"right",4891.56,4865.18,"s01","p736",2,24,1,1734,236,108,22,90,30
"left",4933.79,4932.49,"s01","p736",25,4,1,1759,240,109,22,30,90
"left",4994.89,4994.79,"s01","p736",39,1,2,1798,241,110,22,30,90
"left",5034.25,5030.89,"s01","p736",24,1,3,1822,242,111,22,30,90
"left",5046.56,5046.25,"s01","p736",4,1,4,1826,243,112,22,30,90
"left",5054.79,5054.56,"s01","p736",2,1,5,1828,244,113,22,30,90
"right",5079.05,5077.56,"s01","p736",1,11,1,1839,245,113,23,90,30
"right",5112.36,5112.05,"s01","p736",3,12,2,1851,248,113,24,90,30
"left",5120.53,5109.79,"s01","p736",1,1,1,1852,249,114,24,30,90
"left",5148.68,5145.53,"s01","p736",11,5,2,1863,254,115,24,30,90
"left",5154.66,5152.68,"s01","p736",1,0,3,1864,254,116,24,30,90
"right",5164.39,5147.36,"s01","p736",1,4,1,1868,255,116,25,90,30
"left",5176.16,5171.66,"s01","p736",2,3,1,1870,258,117,25,30,90
"left",5181.87,5181.16,"s01","p736",1,0,2,1871,258,118,25,30,90
"right",5236.85,5225.39,"s01","p736",6,24,1,1895,264,118,26,90,30
"left",5270.64,5269.87,"s01","p736",13,4,1,1908,268,119,26,30,90
"left",5299.36,5298.64,"s01","p736",7,2,2,1915,270,120,26,30,90
"left",5331.42,5329.36,"s01","p736",13,5,3,1928,275,121,26,30,90
"right",5351.83,5330.85,"s01","p736",1,5,1,1933,276,121,27,90,30
"left",5378.16,5377.42,"s01","p736",13,1,1,1946,277,122,27,30,90
"left",66.01,38.99,"s02","p736",1,0,1,1,0,1,0,30,90
"left",77.23,72.01,"s02","p736",1,0,2,2,0,2,0,30,90
"left",101.43,100.23,"s02","p736",26,0,3,28,0,3,0,30,90
"left",112.52,112.43,"s02","p736",10,0,4,38,0,4,0,30,90
"left",156.97,154.52,"s02","p736",35,2,5,73,2,5,0,30,90
"left",163.3,161.97,"s02","p736",1,0,6,74,2,6,0,30,90
