"lever","time","scheduled_since","session","bird","cost_local","cost_alter","streak_length","cum_resp_left","cum_resp_right","cum_reinf_left","cum_reinf_right","local_VI","alter_VI"
"left",153.17,152.99,"s01","p138",232,0,1,232,0,1,0,30,90
"left",181.03,179.17,"s01","p138",35,0,2,267,0,2,0,30,90
"left",224.72,223.03,"s01","p138",71,0,3,338,0,3,0,30,90
"left",245.3,243.72,"s01","p138",13,0,4,351,0,4,0,30,90
"left",251.82,251.3,"s01","p138",4,0,5,355,0,5,0,30,90
"right",279.02,103.99,"s01","p138",1,37,1,392,1,5,1,90,30
"left",284.13,280.82,"s01","p138",1,0,1,393,1,6,1,30,90
"left",288.4,288.13,"s01","p138",1,0,2,394,1,7,1,30,90
"left",299.12,294.4,"s01","p138",4,0,3,398,1,8,1,30,90
"right",341.08,341.02,"s01","p138",4,32,1,430,5,8,2,90,30
"right",357.2,357.08,"s01","p138",1,8,2,438,6,8,3,90,30
"left",374.72,371.12,"s01","p138",11,2,1,449,8,9,3,30,90
"left",510.22,508.72,"s01","p138",104,0,2,553,8,10,3,30,90
"left",609.27,598.22,"s01","p138",104,0,3,657,8,11,3,30,90
"left",615.1,614.27,"s01","p138",1,0,4,658,8,12,3,30,90
"left",649.64,649.1,"s01","p138",43,0,5,701,8,13,3,30,90
"left",698.52,697.64,"s01","p138",36,0,6,737,8,14,3,30,90
"left",729.89,729.52,"s01","p138",39,0,7,776,8,15,3,30,90
"left",804.78,789.89,"s01","p138",81,0,8,857,8,16,3,30,90
"left",810.53,808.78,"s01","p138",2,0,9,859,8,17,3,30,90
"left",832.59,832.53,"s01","p138",23,0,10,882,8,18,3,30,90
"left",849.61,849.59,"s01","p138",26,0,11,908,8,19,3,30,90
"left",868.67,868.61,"s01","p138",24,0,12,932,8,20,3,30,90
"left",958.22,957.67,"s01","p138",113,0,13,1045,8,21,3,30,90
"left",966.66,965.22,"s01","p138",4,0,14,1049,8,22,3,30,90
"left",994.85,994.66,"s01","p138",45,0,15,1094,8,23,3,30,90
