"lever","time","scheduled_since","session","bird","cost_local","cost_alter","streak_length","cum_resp_left","cum_resp_right","cum_reinf_left","cum_reinf_right","local_VI","alter_VI"
"left",576.66,9.99,"s01","p530",1,0,1,1,0,1,0,30,90
"left",582.88,582.66,"s01","p530",1,0,2,2,0,2,0,30,90
"left",800.4,699.88,"s01","p530",14,0,3,16,0,3,0,30,90
"left",887.87,837.4,"s01","p530",9,0,4,25,0,4,0,30,90
"left",915.05,901.87,"s01","p530",9,0,5,34,0,5,0,30,90
"right",924.02,107.99,"s01","p530",1,2,1,36,1,5,1,90,30
"left",2466.58,994.05,"s01","p530",57,1,1,93,2,6,1,30,90
"right",2489.04,1046.02,"s01","p530",1,4,1,97,3,6,2,90,30
"right",2521.28,2515.04,"s01","p530",4,1,2,98,7,6,3,90,30
"left",2581.07,2542.58,"s01","p530",5,17,1,103,24,7,3,30,90
"left",2594.04,2591.07,"s01","p530",3,0,2,106,24,8,3,30,90
"left",2599.36,2599.04,"s01","p530",2,0,3,108,24,9,3,30,90
"left",2613.89,2612.36,"s01","p530",11,0,4,119,24,10,3,30,90
"right",2619.34,2564.28,"s01","p530",1,0,1,119,25,10,4,90,30
"left",2623.98,2620.89,"s01","p530",1,1,1,120,26,11,4,30,90
"right",2678.18,2661.34,"s01","p530",8,15,1,135,34,11,5,90,30
"right",2717.52,2717.18,"s01","p530",21,4,2,139,55,11,6,90,30
"left",2722.65,2710.98,"s01","p530",1,0,1,140,55,12,6,30,90
"left",2763.09,2748.65,"s01","p530",16,16,2,156,71,13,6,30,90
"left",2794.14,2790.09,"s01","p530",15,3,3,171,74,14,6,30,90
"left",2827.92,2823.14,"s01","p530",7,4,4,178,78,15,6,30,90
"left",2866.63,2863.92,"s01","p530",10,3,5,188,81,16,6,30,90
"right",2875.45,2862.52,"s01","p530",1,3,1,191,82,16,7,90,30
"left",2893.65,2890.63,"s01","p530",7,5,1,198,87,17,7,30,90
"left",2919.41,2917.65,"s01","p530",13,2,2,211,89,18,7,30,90
"left",2939.5,2936.41,"s01","p530",6,3,3,217,92,19,7,30,90
"left",2959.61,2959.5,"s01","p530",9,7,4,226,99,20,7,30,90
"left",2981.65,2981.61,"s01","p530",16,0,5,242,99,21,7,30,90
"left",2987.6,2986.65,"s01","p530",3,0,6,245,99,22,7,30,90
"left",2996.22,2995.6,"s01","p530",8,0,7,253,99,23,7,30,90
"left",3006.48,3006.22,"s01","p530",12,0,8,265,99,24,7,30,90
"left",3012.52,3012.48,"s01","p530",6,0,9,271,99,25,7,30,90
