"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right"
"s180","p530",267,407,14,40
"s01","p736",216,153,19,8
"s02","p736",605,44,31,3
"s03","p736",672,70,27,5
"s04","p736",1438,122,69,17
"s05","p736",1632,323,59,19
"s06","p736",1018,155,41,8
"s07","p736",1413,407,47,19
"s08","p736",1183,198,34,8
"s09","p736",1185,205,45,18
"s10","p736",930,165,28,9
"s11","p736",1508,395,55,15
"s12","p736",1097,332,43,21
"s13","p736",1332,367,49,13
"s14","p736",1285,454,46,17
"s15","p736",1498,562,52,17
"s16","p736",840,318,33,13
"s17","p736",627,515,9,29
"s18","p736",561,765,16,52
"s19","p736",474,790,12,37
"s20","p736",336,594,8,29
"s21","p736",421,560,16,36
"s22","p736",345,656,7,44
"s23","p736",566,718,13,28
"s24","p736",399,799,13,43
"s25","p736",419,775,22,39
"s26","p736",287,599,9,22
"s27","p736",498,442,29,12
"s28","p736",751,340,30,13
"s29","p736",1148,507,54,13
"s30","p736",1258,587,53,24
"s31","p736",996,517,52,13
"s32","p736",1281,622,65,23
"s33","p736",1048,606,61,27
"s34","p736",1063,558,60,20
"s35","p736",1201,488,53,17
"s36","p736",807,509,49,13
"s37","p736",499,739,22,47
"s38","p736",422,703,16,34
"s39","p736",375,562,9,34
"s40","p736",514,685,17,47
"s41","p736",498,675,21,33
"s42","p736",323,617,16,34
"s43","p736",189,497,5,40
"s44","p736",237,704,7,32
"s45","p736",311,481,10,24
"s46","p736",435,642,19,48
"s47","p736",307,571,11,31
"s48","p736",408,691,15,34
"s49","p736",273,591,15,44
"s50","p736",307,529,7,31
"s51","p736",360,627,7,26
"s52","p736",520,696,20,39
"s53","p736",370,449,13,24
"s54","p736",704,686,61,23
"s55","p736",578,500,42,12
"s56","p736",827,644,48,25
"s57","p736",719,306,49,15
"s58","p736",589,315,45,11
"s59","p736",1005,447,58,19
"s60","p736",461,278,25,9
"s61","p736",603,440,45,21
"s62","p736",463,318,26,15
"s63","p736",420,356,33,12
"s64","p736",649,219,37,11
"s65","p736",702,340,36,19
"s66","p736",846,320,45,6
"s67","p736",625,326,34,10
"s68","p736",930,506,54,19
"s69","p736",713,386,45,12
"s70","p736",1152,444,64,19
"s71","p736",967,419,52,12
"s72","p736",929,411,58,15
"s73","p736",953,514,54,16
"s74","p736",444,252,26,12
"s75","p736",729,359,50,13
"s76","p736",441,474,19,47
"s77","p736",552,578,11,31
"s78","p736",362,561,9,27
"s79","p736",478,452,13,23
"s80","p736",458,512,17,36
"s81","p736",289,424,8,31
"s82","p736",473,750,8,51
"s83","p736",481,555,18,31
"s84","p736",547,630,17,35
"s85","p736",570,736,14,47
"s86","p736",476,710,10,42
"s87","p736",587,874,11,39
"s88","p736",487,652,13,40
"s89","p736",366,570,8,23
"s90","p736",466,724,16,40
"s91","p736",416,457,20,29
"s92","p736",396,579,13,28
"s93","p736",342,527,10,33
"s94","p736",380,593,7,34
"s95","p736",494,664,12,39
"s96","p736",559,747,13,40
"s97","p736",546,718,21,47
"s98","p736",290,560,17,41
"s99","p736",131,488,8,33
"s100","p736",376,693,11,40
"s101","p736",401,644,9,38
"s102","p736",366,586,18,23
"s103","p736",507,514,20,19
"s104","p736",428,434,23,17
"s105","p736",439,424,14,18
"s106","p736",559,462,24,19
"s107","p736",590,547,20,21
"s108","p736",600,567,21,23
"s109","p736",612,474,24,21
"s110","p736",604,491,26,20
"s111","p736",586,545,17,22
"s112","p736",378,435,24,13
"s113","p736",474,465,18,18
"s114","p736",679,540,26,24
"s115","p736",551,482,20,15
"s116","p736",1059,792,36,46
"s117","p736",1365,893,74,15
"s118","p736",835,430,50,7
"s119","p736",650,1169,12,76
"s120","p736",482,1286,4,68
"s121","p736",431,1170,13,67
"s122","p736",1126,789,67,2
"s123","p736",1127,213,47,2
"s124","p736",975,794,42,39
"s125","p736",1602,903,66,26
"s126","p736",882,1124,10,73
"s127","p736",1654,807,76,18
"s128","p736",656,413,50,7
"s129","p736",663,379,39,10
"s130","p736",525,327,41,6
"s131","p736",884,856,29,55
"s132","p736",596,378,56,8
"s133","p736",399,1693,2,87
"s134","p736",598,591,42,6
"s135","p736",972,324,43,5
"s136","p736",627,984,16,56
"s137","p736",441,1353,17,58
"s138","p736",718,1317,30,69
"s139","p736",987,657,43,16
"s140","p736",683,1510,12,73
"s141","p736",605,1383,8,62
"s142","p736",215,1140,3,52
"s143","p736",434,1579,11,81
"s144","p736",1169,1016,74,18
"s145","p736",410,1047,11,60
"s146","p736",763,714,39,24
"s147","p736",853,785,44,30
"s148","p736",275,747,17,41
"s149","p736",776,1118,31,52
"s150","p736",905,605,42,19
"s151","p736",447,1450,6,68
"s152","p736",965,478,83,6
"s153","p736",388,874,6,40
"s154","p736",433,967,5,48
"s155","p736",1211,637,69,7
"s156","p736",1490,729,72,13
"s157","p736",1283,1321,46,64
"s158","p736",855,669,62,4
"s159","p736",791,903,4,64
"s160","p736",263,324,35,24
"s161","p736",864,116,52,19
"s162","p736",357,809,22,45
"s163","p736",661,913,18,47
"s164","p736",650,795,20,37
"s165","p736",1206,1578,33,54
"s166","p736",1108,699,63,3
"s167","p736",1197,541,59,4
"s168","p736",814,237,63,6
"s169","p736",1605,550,78,6
"s170","p736",1155,1365,25,76
"s171","p736",1155,408,60,2
"s172","p736",931,248,60,7
"s173","p736",552,648,21,34
"s174","p736",1147,404,81,8
"s175","p736",700,923,18,50
"s176","p736",560,1204,15,54
"s177","p736",840,645,39,18
"s178","p736",483,789,4,59
"s179","p736",1545,635,81,8
"s180","p736",1046,399,38,7
