"session","bird","n_resp_left","n_resp_right","n_reinf_left","n_reinf_right"
"s103","p004",712,561,21,26
"s104","p004",674,506,16,22
"s105","p004",680,504,20,23
"s106","p004",622,434,28,18
"s107","p004",910,567,18,20
"s108","p004",688,457,32,25
"s109","p004",873,461,14,10
"s110","p004",608,416,26,26
"s111","p004",914,503,22,24
"s112","p004",649,441,19,21
"s113","p004",679,536,16,20
"s114","p004",719,600,18,19
"s115","p004",879,543,24,28
"s116","p004",1394,1012,49,35
"s117","p004",1243,1205,51,48
"s118","p004",941,770,59,1
"s119","p004",935,708,46,7
"s120","p004",1482,974,87,3
"s121","p004",1007,562,42,7
"s122","p004",1280,609,55,5
"s123","p004",1274,703,65,6
"s124","p004",856,539,37,6
"s125","p004",871,931,17,47
"s126","p004",1434,1140,63,29
"s127","p004",976,681,11,48
"s128","p004",1450,1001,76,18
"s129","p004",1102,780,65,7
"s130","p004",888,753,8,51
"s131","p004",539,453,46,5
"s132","p004",748,978,36,57
"s133","p004",659,392,47,2
"s134","p004",985,385,64,3
"s135","p004",905,489,58,5
"s136","p004",1356,922,19,59
"s137","p004",747,392,45,6
"s138","p004",741,506,22,25
"s139","p004",1394,1362,40,57
"s140","p004",1274,1142,33,59
"s141","p004",1141,810,71,4
"s142","p004",1121,510,75,5
"s143","p004",770,1211,5,68
"s144","p004",821,419,39,7
"s145","p004",764,922,12,58
"s146","p004",1232,1252,13,64
"s147","p004",1232,732,14,66
"s148","p004",565,91,16,25
"s149","p004",1195,167,56,20
"s150","p004",755,226,7,37
"s151","p004",833,27,64,2
"s152","p004",1053,287,13,63
"s153","p004",1026,495,23,60
"s154","p004",842,222,11,46
"s155","p004",1013,113,65,13
"s156","p004",714,578,1,82
"s157","p004",511,144,5,30
"s158","p004",496,271,4,63
"s159","p004",783,92,52,10
"s160","p004",653,39,26,9
"s161","p004",702,597,27,46
"s162","p004",1550,255,55,21
"s163","p004",837,602,5,48
"s164","p004",350,671,1,53
"s165","p004",1103,801,43,18
"s166","p004",937,742,23,33
"s167","p004",1287,816,21,43
"s168","p004",1297,700,87,7
"s169","p004",834,824,27,59
"s170","p004",1543,834,73,13
"s171","p004",862,711,59,7
"s172","p004",556,746,7,49
"s173","p004",1458,1177,52,33
"s174","p004",1077,966,16,81
"s175","p004",1280,1209,22,92
"s176","p004",463,684,10,44
"s177","p004",800,361,40,10
"s178","p004",1113,679,67,9
"s179","p004",978,685,8,37
"s180","p004",524,718,8,46
"s01","p054",236,277,33,17
"s02","p054",511,329,51,19
"s03","p054",271,247,26,14
"s04","p054",338,183,28,9
"s05","p054",143,206,17,10
"s06","p054",294,311,39,20
"s07","p054",309,110,25,7
"s08","p054",655,198,72,26
"s09","p054",306,118,25,10
"s10","p054",462,147,44,14
"s11","p054",355,206,32,11
"s12","p054",722,269,66,23
"s13","p054",642,188,44,16
"s14","p054",734,287,55,21
"s15","p054",409,164,31,9
"s16","p054",574,287,37,18
"s17","p054",383,349,12,36
"s18","p054",342,322,10,35
"s19","p054",214,357,3,28
"s20","p054",343,422,18,40
"s21","p054",383,412,19,34
"s22","p054",383,426,15,46
"s23","p054",77,130,3,20
"s24","p054",281,437,4,34
