,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,010,0,session_start,0.0,1185.000,2235.000,1185.000,2235.000
1,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,250,0,chamber_light_on,0.0,1185.000,2235.000,1185.000,2235.000
2,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,220,0,left_light_on,0.0,1185.000,2235.000,1185.000,2235.000
3,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,230,0,right_light_on,0.0,1185.000,2235.000,1185.000,2235.000
4,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,115,response_right_key,1.15,1185.000,2235.000,1185.000,2235.000
5,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,153,response_right_key,1.53,1185.000,2235.000,1185.000,2235.000
6,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,190,response_right_key,1.9,1185.000,2235.000,1185.000,2235.000
7,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,227,response_right_key,2.27,1185.000,2235.000,1185.000,2235.000
8,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,266,response_right_key,2.66,1185.000,2235.000,1185.000,2235.000
9,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,302,response_right_key,3.02,1185.000,2235.000,1185.000,2235.000
10,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,341,response_right_key,3.41,1185.000,2235.000,1185.000,2235.000
11,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,379,response_right_key,3.79,1185.000,2235.000,1185.000,2235.000
12,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,450,response_right_key,4.5,1185.000,2235.000,1185.000,2235.000
13,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,565,response_right_key,5.65,1185.000,2235.000,1185.000,2235.000
14,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,120,835,response_left_key,8.35,1185.000,2235.000,1185.000,2235.000
15,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,982,response_right_key,9.82,1185.000,2235.000,1185.000,2235.000
16,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,1118,response_right_key,11.18,1185.000,2235.000,1185.000,2235.000
17,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,120,1260,response_left_key,12.6,1185.000,2235.000,1185.000,2235.000
18,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,120,1288,response_left_key,12.88,1185.000,2235.000,1185.000,2235.000
19,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,1421,response_right_key,14.21,1185.000,2235.000,1185.000,2235.000
20,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,1603,response_right_key,16.03,1185.000,2235.000,1185.000,2235.000
21,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,2291,response_right_key,22.91,1185.000,2235.000,1185.000,2235.000
22,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,130,2334,response_right_key,23.34,1185.000,2235.000,1185.000,2235.000
23,6,p736_s110_japede,10/17/17,14:45:35,15:46:05,p736,s110,japede_L_45_45_45_R_45_45_45,120,2464,response_left_key,24.64,1185.000,2235.000,1185.000,2235.000
