,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec
0,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,010,0,session_start,0.0
1,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,250,0,chamber_light_on,0.0
2,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,220,0,left_light_on,0.0
3,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,230,0,right_light_on,0.0
4,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,253,response_left_key,2.53
5,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,1133,response_left_key,11.33
6,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,1190,response_left_key,11.9
7,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,1252,response_left_key,12.52
8,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,1824,response_left_key,18.24
9,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,1859,response_left_key,18.59
10,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,1908,response_left_key,19.08
11,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,130,2120,response_right_key,21.2
12,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,2222,response_left_key,22.22
13,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,2357,response_left_key,23.57
14,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,2524,response_left_key,25.24
15,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,2576,response_left_key,25.76
16,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,740,2899,reinforcer_scheduled_left,28.99
17,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,840,2899,reinforcer_scheduled_right,28.99
18,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,2899,response_left_key,28.99
19,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,540,2930,feeder_on_left,29.3
20,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,320,2930,left_light_off,29.3
21,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,330,2930,right_light_off,29.3
22,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,350,2930,chamber_light_off,29.3
23,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,240,2930,feeder_on,29.3
24,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,2930,response_left_key,29.3
25,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,220,3180,left_light_on,31.8
26,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,230,3180,right_light_on,31.8
27,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,250,3180,chamber_light_on,31.8
28,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,340,3180,feeder_off,31.8
29,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,3339,response_left_key,33.39
30,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,120,3374,response_left_key,33.74
31,6,p736_s74_japede,09/09/17,15:15:26,16:15:56,p736,s74,japede_L_30_30_30_R_90_90_90,640,3771,feeder_on_right,37.71
