,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,010,0,session_start,0.0,1298.000,4233.000,1298.000,4233.000
1,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,250,0,chamber_light_on,0.0,1298.000,4233.000,1298.000,4233.000
2,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,220,0,left_light_on,0.0,1298.000,4233.000,1298.000,4233.000
3,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,230,0,right_light_on,0.0,1298.000,4233.000,1298.000,4233.000
4,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,421,response_right_key,4.21,1298.000,4233.000,1298.000,4233.000
5,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,467,response_right_key,4.67,1298.000,4233.000,1298.000,4233.000
6,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,602,response_right_key,6.02,1298.000,4233.000,1298.000,4233.000
7,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,120,1446,response_left_key,14.46,1298.000,4233.000,1298.000,4233.000
8,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,120,1489,response_left_key,14.89,1298.000,4233.000,1298.000,4233.000
9,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,120,2220,response_left_key,22.2,1298.000,4233.000,1298.000,4233.000
10,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,2477,response_right_key,24.77,1298.000,4233.000,1298.000,4233.000
11,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,2699,response_right_key,26.99,1298.000,4233.000,1298.000,4233.000
12,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,2767,response_right_key,27.67,1298.000,4233.000,1298.000,4233.000
13,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,120,2967,response_left_key,29.67,1298.000,4233.000,1298.000,4233.000
14,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,120,3018,response_left_key,30.18,1298.000,4233.000,1298.000,4233.000
15,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,3565,response_right_key,35.65,1298.000,4233.000,1298.000,4233.000
16,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,3733,response_right_key,37.33,1298.000,4233.000,1298.000,4233.000
17,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,3784,response_right_key,37.84,1298.000,4233.000,1298.000,4233.000
18,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,130,4314,response_right_key,43.14,1298.000,4233.000,1298.000,4233.000
19,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,840,4499,reinforcer_scheduled_right,44.99,1298.000,4233.000,1298.000,4233.000
20,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,120,4877,response_left_key,48.77,1298.000,4233.000,1298.000,4233.000
21,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,120,5163,response_left_key,51.63,1298.000,4233.000,1298.000,4233.000
22,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,120,5209,response_left_key,52.09,1298.000,4233.000,1298.000,4233.000
23,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,640,5410,feeder_on_right,54.1,1298.000,4233.000,1298.000,4233.000
24,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,320,5410,left_light_off,54.1,1298.000,4233.000,1298.000,4233.000
25,7,p054_s98_japede,10/05/17,16:10:54,17:11:23,p054,s98,japede_L_90_90_90_R_30_30_30,330,5410,right_light_off,54.1,1298.000,4233.000,1298.000,4233.000
