,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,010,0,session_start,0.0,2027.000,2907.000,2027.000,2907.000
1,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,250,0,chamber_light_on,0.0,2027.000,2907.000,2027.000,2907.000
2,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,220,0,left_light_on,0.0,2027.000,2907.000,2027.000,2907.000
3,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,230,0,right_light_on,0.0,2027.000,2907.000,2027.000,2907.000
4,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,53,response_right_key,0.53,2027.000,2907.000,2027.000,2907.000
5,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,90,response_right_key,0.9,2027.000,2907.000,2027.000,2907.000
6,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,128,response_right_key,1.28,2027.000,2907.000,2027.000,2907.000
7,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,167,response_right_key,1.67,2027.000,2907.000,2027.000,2907.000
8,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,205,response_right_key,2.05,2027.000,2907.000,2027.000,2907.000
9,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,242,response_right_key,2.42,2027.000,2907.000,2027.000,2907.000
10,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,279,response_right_key,2.79,2027.000,2907.000,2027.000,2907.000
11,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,361,response_right_key,3.61,2027.000,2907.000,2027.000,2907.000
12,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,400,response_right_key,4.0,2027.000,2907.000,2027.000,2907.000
13,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,130,443,response_right_key,4.43,2027.000,2907.000,2027.000,2907.000
14,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,120,589,response_left_key,5.89,2027.000,2907.000,2027.000,2907.000
15,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,120,621,response_left_key,6.21,2027.000,2907.000,2027.000,2907.000
16,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,740,699,reinforcer_scheduled_left,6.99,2027.000,2907.000,2027.000,2907.000
17,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,540,714,feeder_on_left,7.14,2027.000,2907.000,2027.000,2907.000
18,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,320,714,left_light_off,7.14,2027.000,2907.000,2027.000,2907.000
19,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,330,714,right_light_off,7.14,2027.000,2907.000,2027.000,2907.000
20,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,350,714,chamber_light_off,7.14,2027.000,2907.000,2027.000,2907.000
21,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,240,714,feeder_on,7.14,2027.000,2907.000,2027.000,2907.000
22,6,p736_s117_japede,10/24/17,17:10:27,18:11:40,p736,s117,japede_L_27_27_27_R_135_135_135,120,714,response_left_key,7.14,2027.000,2907.000,2027.000,2907.000
