,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,010,0,session_start,0.0,1294.000,3525.000,1294.000,3525.000
1,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,250,0,chamber_light_on,0.0,1294.000,3525.000,1294.000,3525.000
2,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,220,0,left_light_on,0.0,1294.000,3525.000,1294.000,3525.000
3,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,230,0,right_light_on,0.0,1294.000,3525.000,1294.000,3525.000
4,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,920,response_right_key,9.2,1294.000,3525.000,1294.000,3525.000
5,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,929,response_right_key,9.29,1294.000,3525.000,1294.000,3525.000
6,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,840,999,reinforcer_scheduled_right,9.99,1294.000,3525.000,1294.000,3525.000
7,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,640,1124,feeder_on_right,11.24,1294.000,3525.000,1294.000,3525.000
8,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,320,1124,left_light_off,11.24,1294.000,3525.000,1294.000,3525.000
9,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,330,1124,right_light_off,11.24,1294.000,3525.000,1294.000,3525.000
10,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,350,1124,chamber_light_off,11.24,1294.000,3525.000,1294.000,3525.000
11,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,240,1124,feeder_on,11.24,1294.000,3525.000,1294.000,3525.000
12,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,1124,response_right_key,11.24,1294.000,3525.000,1294.000,3525.000
13,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,220,1374,left_light_on,13.74,1294.000,3525.000,1294.000,3525.000
14,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,230,1374,right_light_on,13.74,1294.000,3525.000,1294.000,3525.000
15,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,250,1374,chamber_light_on,13.74,1294.000,3525.000,1294.000,3525.000
16,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,340,1374,feeder_off,13.74,1294.000,3525.000,1294.000,3525.000
17,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,1623,response_right_key,16.23,1294.000,3525.000,1294.000,3525.000
18,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,1752,response_right_key,17.52,1294.000,3525.000,1294.000,3525.000
19,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,120,2054,response_left_key,20.54,1294.000,3525.000,1294.000,3525.000
20,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,2265,response_right_key,22.65,1294.000,3525.000,1294.000,3525.000
21,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,2409,response_right_key,24.09,1294.000,3525.000,1294.000,3525.000
22,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,2539,response_right_key,25.39,1294.000,3525.000,1294.000,3525.000
23,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,2684,response_right_key,26.84,1294.000,3525.000,1294.000,3525.000
24,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,3098,response_right_key,30.98,1294.000,3525.000,1294.000,3525.000
25,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,3424,response_right_key,34.24,1294.000,3525.000,1294.000,3525.000
26,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,3759,response_right_key,37.59,1294.000,3525.000,1294.000,3525.000
27,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,3935,response_right_key,39.35,1294.000,3525.000,1294.000,3525.000
28,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,4455,response_right_key,44.55,1294.000,3525.000,1294.000,3525.000
29,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,120,4632,response_left_key,46.32,1294.000,3525.000,1294.000,3525.000
30,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,4798,response_right_key,47.98,1294.000,3525.000,1294.000,3525.000
31,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,4916,response_right_key,49.16,1294.000,3525.000,1294.000,3525.000
32,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,5553,response_right_key,55.53,1294.000,3525.000,1294.000,3525.000
33,8,p138_s23_japede,07/19/17,15:23:49,16:24:02,p138,s23,japede_L_90_90_90_R_30_30_30,130,5597,response_right_key,55.97,1294.000,3525.000,1294.000,3525.000
