,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec
0,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,010,0,session_start,0.0
1,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,250,0,chamber_light_on,0.0
2,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,220,0,left_light_on,0.0
3,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,230,0,right_light_on,0.0
4,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,214,response_right_key,2.14
5,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,257,response_right_key,2.57
6,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,301,response_right_key,3.01
7,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,344,response_right_key,3.44
8,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,384,response_right_key,3.84
9,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,468,response_right_key,4.68
10,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,510,response_right_key,5.1
11,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,550,response_right_key,5.5
12,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,590,response_right_key,5.9
13,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,828,response_left_key,8.28
14,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,861,response_left_key,8.61
15,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,740,899,reinforcer_scheduled_left,8.99
16,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,990,response_right_key,9.9
17,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,540,1141,feeder_on_left,11.41
18,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,320,1141,left_light_off,11.41
19,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,330,1141,right_light_off,11.41
20,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,350,1141,chamber_light_off,11.41
21,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,240,1141,feeder_on,11.41
22,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,1141,response_left_key,11.41
23,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,220,1391,left_light_on,13.91
24,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,230,1391,right_light_on,13.91
25,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,250,1391,chamber_light_on,13.91
26,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,340,1391,feeder_off,13.91
27,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,1587,response_left_key,15.87
28,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,1622,response_left_key,16.22
29,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,1727,response_right_key,17.27
30,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,1782,response_right_key,17.82
31,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,1857,response_right_key,18.57
32,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,2099,response_right_key,20.99
33,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,2199,response_left_key,21.99
34,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,2410,response_right_key,24.1
35,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,2511,response_left_key,25.11
36,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,2629,response_right_key,26.29
37,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,2719,response_left_key,27.19
38,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,2757,response_left_key,27.57
39,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,3015,response_left_key,30.15
40,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,3045,response_left_key,30.45
41,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,3163,response_right_key,31.63
42,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,3252,response_left_key,32.52
43,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,3332,response_left_key,33.32
44,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,3477,response_left_key,34.77
45,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,3491,response_left_key,34.91
46,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,3600,response_left_key,36.0
47,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,3867,response_left_key,38.67
48,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,3898,response_left_key,38.98
49,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,4015,response_right_key,40.15
50,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,4113,response_left_key,41.13
51,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,130,4292,response_right_key,42.92
52,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,4364,response_left_key,43.64
53,6,p736_s67_japede,09/02/17,17:49:24,18:49:56,p736,s67,japede_L_30_30_30_R_90_90_90,120,4703,response_left_key,47.03
