,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,010,0,session_start,0.0,1946.000,2977.000,1946.000,2977.000
1,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,250,0,chamber_light_on,0.0,1946.000,2977.000,1946.000,2977.000
2,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,220,0,left_light_on,0.0,1946.000,2977.000,1946.000,2977.000
3,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,230,0,right_light_on,0.0,1946.000,2977.000,1946.000,2977.000
4,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,665,response_left_key,6.65,1946.000,2977.000,1946.000,2977.000
5,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,130,867,response_right_key,8.67,1946.000,2977.000,1946.000,2977.000
6,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,1015,response_left_key,10.15,1946.000,2977.000,1946.000,2977.000
7,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,1023,response_left_key,10.23,1946.000,2977.000,1946.000,2977.000
8,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,130,1159,response_right_key,11.59,1946.000,2977.000,1946.000,2977.000
9,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,130,1238,response_right_key,12.38,1946.000,2977.000,1946.000,2977.000
10,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,130,1311,response_right_key,13.11,1946.000,2977.000,1946.000,2977.000
11,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,130,1317,response_right_key,13.17,1946.000,2977.000,1946.000,2977.000
12,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,1544,response_left_key,15.44,1946.000,2977.000,1946.000,2977.000
13,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,1590,response_left_key,15.9,1946.000,2977.000,1946.000,2977.000
14,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,1714,response_left_key,17.14,1946.000,2977.000,1946.000,2977.000
15,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,1721,response_left_key,17.21,1946.000,2977.000,1946.000,2977.000
16,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,2169,response_left_key,21.69,1946.000,2977.000,1946.000,2977.000
17,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,2174,response_left_key,21.74,1946.000,2977.000,1946.000,2977.000
18,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,2408,response_left_key,24.08,1946.000,2977.000,1946.000,2977.000
19,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,130,2536,response_right_key,25.36,1946.000,2977.000,1946.000,2977.000
20,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,840,2799,reinforcer_scheduled_right,27.99,1946.000,2977.000,1946.000,2977.000
21,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,2993,response_left_key,29.93,1946.000,2977.000,1946.000,2977.000
22,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,3000,response_left_key,30.0,1946.000,2977.000,1946.000,2977.000
23,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,120,3007,response_left_key,30.07,1946.000,2977.000,1946.000,2977.000
24,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,640,3201,feeder_on_right,32.01,1946.000,2977.000,1946.000,2977.000
25,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,320,3201,left_light_off,32.01,1946.000,2977.000,1946.000,2977.000
26,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,330,3201,right_light_off,32.01,1946.000,2977.000,1946.000,2977.000
27,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,350,3201,chamber_light_off,32.01,1946.000,2977.000,1946.000,2977.000
28,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,240,3201,feeder_on,32.01,1946.000,2977.000,1946.000,2977.000
29,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,130,3201,response_right_key,32.01,1946.000,2977.000,1946.000,2977.000
30,8,p530_s178_japede,12/25/17,14:37:39,15:38:06,p530,s178,japede_L_90_90_90_R_30_30_30,130,3208,response_right_key,32.08,1946.000,2977.000,1946.000,2977.000
