,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,010,0,session_start,0.0,1259.000,2778.000,1259.000,2778.000
1,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,250,0,chamber_light_on,0.0,1259.000,2778.000,1259.000,2778.000
2,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,220,0,left_light_on,0.0,1259.000,2778.000,1259.000,2778.000
3,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,230,0,right_light_on,0.0,1259.000,2778.000,1259.000,2778.000
4,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,120,285,response_left_key,2.85,1259.000,2778.000,1259.000,2778.000
5,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,120,308,response_left_key,3.08,1259.000,2778.000,1259.000,2778.000
6,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,120,337,response_left_key,3.37,1259.000,2778.000,1259.000,2778.000
7,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,120,424,response_left_key,4.24,1259.000,2778.000,1259.000,2778.000
8,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,130,586,response_right_key,5.86,1259.000,2778.000,1259.000,2778.000
9,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,120,847,response_left_key,8.47,1259.000,2778.000,1259.000,2778.000
10,5,p004_s148_japede,11/24/17,14:31:33,15:32:20,p004,s148,japede_L_135_35_35_R_27_63_63,120,874,response_left_key,8.74,1259.000,2778.000,1259.000,2778.000
