,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,010,0,session_start,0.0,1083.000,3826.000,1083.000,3826.000
1,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,250,0,chamber_light_on,0.0,1083.000,3826.000,1083.000,3826.000
2,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,220,0,left_light_on,0.0,1083.000,3826.000,1083.000,3826.000
3,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,230,0,right_light_on,0.0,1083.000,3826.000,1083.000,3826.000
4,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,130,98,response_right_key,0.98,1083.000,3826.000,1083.000,3826.000
5,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,130,103,response_right_key,1.03,1083.000,3826.000,1083.000,3826.000
6,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,289,response_left_key,2.89,1083.000,3826.000,1083.000,3826.000
7,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,383,response_left_key,3.83,1083.000,3826.000,1083.000,3826.000
8,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,390,response_left_key,3.9,1083.000,3826.000,1083.000,3826.000
9,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,428,response_left_key,4.28,1083.000,3826.000,1083.000,3826.000
10,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,740,499,reinforcer_scheduled_left,4.99,1083.000,3826.000,1083.000,3826.000
11,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,130,602,response_right_key,6.02,1083.000,3826.000,1083.000,3826.000
12,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,130,609,response_right_key,6.09,1083.000,3826.000,1083.000,3826.000
13,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,130,651,response_right_key,6.51,1083.000,3826.000,1083.000,3826.000
14,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,540,775,feeder_on_left,7.75,1083.000,3826.000,1083.000,3826.000
15,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,320,775,left_light_off,7.75,1083.000,3826.000,1083.000,3826.000
16,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,330,775,right_light_off,7.75,1083.000,3826.000,1083.000,3826.000
17,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,350,775,chamber_light_off,7.75,1083.000,3826.000,1083.000,3826.000
18,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,240,775,feeder_on,7.75,1083.000,3826.000,1083.000,3826.000
19,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,775,response_left_key,7.75,1083.000,3826.000,1083.000,3826.000
20,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,802,response_left_key,8.02,1083.000,3826.000,1083.000,3826.000
21,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,220,1025,left_light_on,10.25,1083.000,3826.000,1083.000,3826.000
22,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,230,1025,right_light_on,10.25,1083.000,3826.000,1083.000,3826.000
23,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,250,1025,chamber_light_on,10.25,1083.000,3826.000,1083.000,3826.000
24,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,340,1025,feeder_off,10.25,1083.000,3826.000,1083.000,3826.000
25,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1182,response_left_key,11.82,1083.000,3826.000,1083.000,3826.000
26,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1280,response_left_key,12.8,1083.000,3826.000,1083.000,3826.000
27,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,130,1388,response_right_key,13.88,1083.000,3826.000,1083.000,3826.000
28,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,130,1436,response_right_key,14.36,1083.000,3826.000,1083.000,3826.000
29,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,130,1442,response_right_key,14.42,1083.000,3826.000,1083.000,3826.000
30,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,130,1491,response_right_key,14.91,1083.000,3826.000,1083.000,3826.000
31,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1636,response_left_key,16.36,1083.000,3826.000,1083.000,3826.000
32,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1642,response_left_key,16.42,1083.000,3826.000,1083.000,3826.000
33,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1680,response_left_key,16.8,1083.000,3826.000,1083.000,3826.000
34,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1743,response_left_key,17.43,1083.000,3826.000,1083.000,3826.000
35,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1775,response_left_key,17.75,1083.000,3826.000,1083.000,3826.000
36,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1781,response_left_key,17.81,1083.000,3826.000,1083.000,3826.000
37,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1880,response_left_key,18.8,1083.000,3826.000,1083.000,3826.000
38,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1973,response_left_key,19.73,1083.000,3826.000,1083.000,3826.000
39,6,p510_s11_japede,07/07/17,15:35:45,16:36:19,p510,s11,japede_L_30_30_30_R_90_90_90,120,1976,response_left_key,19.76,1083.000,3826.000,1083.000,3826.000
