,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,010,0,session_start,0.0,1682.000,4023.000,1682.000,4023.000
1,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,250,0,chamber_light_on,0.0,1682.000,4023.000,1682.000,4023.000
2,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,110,0,response_central_key,0.0,1682.000,4023.000,1682.000,4023.000
3,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,110,0,response_central_key,0.0,1682.000,4023.000,1682.000,4023.000
4,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,120,0,response_left_key,0.0,1682.000,4023.000,1682.000,4023.000
5,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,220,0,left_light_on,0.0,1682.000,4023.000,1682.000,4023.000
6,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,230,0,right_light_on,0.0,1682.000,4023.000,1682.000,4023.000
7,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,840,699,reinforcer_scheduled_right,6.99,1682.000,4023.000,1682.000,4023.000
8,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,640,1783,feeder_on_right,17.83,1682.000,4023.000,1682.000,4023.000
9,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,320,1783,left_light_off,17.83,1682.000,4023.000,1682.000,4023.000
10,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,330,1783,right_light_off,17.83,1682.000,4023.000,1682.000,4023.000
11,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,350,1783,chamber_light_off,17.83,1682.000,4023.000,1682.000,4023.000
12,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,240,1783,feeder_on,17.83,1682.000,4023.000,1682.000,4023.000
13,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,130,1783,response_right_key,17.83,1682.000,4023.000,1682.000,4023.000
14,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,740,1999,reinforcer_scheduled_left,19.99,1682.000,4023.000,1682.000,4023.000
15,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,220,2033,left_light_on,20.33,1682.000,4023.000,1682.000,4023.000
16,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,230,2033,right_light_on,20.33,1682.000,4023.000,1682.000,4023.000
17,7,p054_s13_japede,07/09/17,15:27:06,16:27:28,p054,s13,japede_L_30_30_30_R_90_90_90,250,2033,chamber_light_on,20.33,1682.000,4023.000,1682.000,4023.000
