,box,data_file,date,session_start,session_end,bird,session,med_notation_file,event_key,time_sec_100,event,session_time_sec,first_cp_left,second_cp_left,first_cp_right,second_cp_right
0,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,010,0,session_start,0.0,1092.000,2148.000,1092.000,2148.000
1,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,250,0,chamber_light_on,0.0,1092.000,2148.000,1092.000,2148.000
2,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,220,0,left_light_on,0.0,1092.000,2148.000,1092.000,2148.000
3,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,230,0,right_light_on,0.0,1092.000,2148.000,1092.000,2148.000
4,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,130,52,response_right_key,0.52,1092.000,2148.000,1092.000,2148.000
5,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,130,206,response_right_key,2.06,1092.000,2148.000,1092.000,2148.000
6,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,120,470,response_left_key,4.7,1092.000,2148.000,1092.000,2148.000
7,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,120,500,response_left_key,5.0,1092.000,2148.000,1092.000,2148.000
8,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,120,521,response_left_key,5.21,1092.000,2148.000,1092.000,2148.000
9,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,120,547,response_left_key,5.47,1092.000,2148.000,1092.000,2148.000
10,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,120,600,response_left_key,6.0,1092.000,2148.000,1092.000,2148.000
11,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,120,630,response_left_key,6.3,1092.000,2148.000,1092.000,2148.000
12,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,120,657,response_left_key,6.57,1092.000,2148.000,1092.000,2148.000
13,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,130,959,response_right_key,9.59,1092.000,2148.000,1092.000,2148.000
14,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,130,998,response_right_key,9.98,1092.000,2148.000,1092.000,2148.000
15,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,130,1029,response_right_key,10.29,1092.000,2148.000,1092.000,2148.000
16,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,840,1399,reinforcer_scheduled_right,13.99,1092.000,2148.000,1092.000,2148.000
17,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,740,2399,reinforcer_scheduled_left,23.99,1092.000,2148.000,1092.000,2148.000
18,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,640,4901,feeder_on_right,49.01,1092.000,2148.000,1092.000,2148.000
19,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,320,4901,left_light_off,49.01,1092.000,2148.000,1092.000,2148.000
20,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,330,4901,right_light_off,49.01,1092.000,2148.000,1092.000,2148.000
21,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,350,4901,chamber_light_off,49.01,1092.000,2148.000,1092.000,2148.000
22,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,240,4901,feeder_on,49.01,1092.000,2148.000,1092.000,2148.000
23,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,130,4901,response_right_key,49.01,1092.000,2148.000,1092.000,2148.000
24,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,220,5151,left_light_on,51.51,1092.000,2148.000,1092.000,2148.000
25,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,230,5151,right_light_on,51.51,1092.000,2148.000,1092.000,2148.000
26,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,250,5151,chamber_light_on,51.51,1092.000,2148.000,1092.000,2148.000
27,7,p004_s102_japede,10/09/17,14:37:11,15:37:42,p004,s102,japede_L_45_45_45_R_45_45_45,340,5151,feeder_off,51.51,1092.000,2148.000,1092.000,2148.000
